semilla,inicial,desarrollo,medios,finales,cosecha",
"Ajo",0.20,0.35,0.42,0.45-0.65,0.55,
"Alfalfa",0.30-0.40,0,0,0,1.05-1.20,
"Almendro",0.53,0.59,0.95,1.02,1.00,
"Arandano 1año",0.11,0.23,0.31,0.34,0.33,
"Arandano 2año",0.14,0.32,0.42,0.45,0.42,
"Arandano 3año",0.21,0.35,0.45,0.50,0.49,
"Arroz",1.10-1.15,1.10-1.50,1.10-1.30,0.95-1.10,0.95-1.05,
"Arveja fresca",0.40-0.50,0.70-0.85,1.05-1.20,1.00-1.15,0.95-1.10,
"Cebolla seca",0.40-0.60,0.70-0.80,0.95-1.10,0.85-0.90,0.75-0.85,
"Cebolla verde",0.40-0.60,0.60-0.75,0.95-1.05,0.95-1.10,0.95-1.05,
"Ciruelo",0.53,0.62,0.98,1.07,1.06,
"Coliflor",0.4-0.50,0.70-4.8,0.95-1.10,0.90-1.00,0.80-0.95,
"Duraznero",0.53,0.62,0.98,1.07,1.06,
"Esparragos",0.40,0.48,0.50,0.80,0.82,
"Frambuesa",0.45,0.51,0.55,0.69,0.75,
"Kiwi",0.63,0.68,1.14,1.24,1.20,
"Maiz dulce",0.30-0.50,0.70-0.90,1.05-1.20,1.00-1.15,0.95-1.10,
"Maiz grano",0.30-0.50,0.70-0.85,1.05-1.20,0.80-0.95,0.55-0.60,
"Mani",0.40-0.50,0.70-0.80,0.95-1.10,0.75-0.80,0.55-0.60,
"Manzano",0.54,0.65,1.05,1.16,1.13,
"Maravilla",0.30-0.40,0.70-0.80,1.05-1.20,0.70-0.80,0.35-0.45,
"Nectarino",0.53,0.62,0.98,1.07,1.06,
"Nogal",0.53,0.58,0.91,1.07,1.06,
"Olivo",0,0,0,0,0,
"Palto",0.77,0.78,0.76,0.77,0.78,
"Papa",0.40-0.50,0.70-0.80,1.05-1.20,0.85-0.9,0.70-0.75,
"Peral",0.54,0.65,1.05,1.16,1.13,
"Pimentón",0.30-0.40,0.60-0.75,0.95-1.10,0.85-1.00,0.80-0.90,
"Poroto seco",0.30-0.40,0.70-080,1.05-1.20,0.65-0.70,0.25-03,
"Poroto vade",0.30-0.40,0.65-0.75,0.95-1.05,0.9-0.95,0.85-0.95,
"Pradera",0.79,0.82,0.91,0.95,0.92,
"Remolacha",0.40-0.50,075-0.85,1.05-1.20,0.9-l.00,0.60-0.70,
"Sandía",0.40-0.50,0.70-0.80,0.95-1.05,0.80-0.90,0.65-0.75,
"Tabaco",0.30-0.40,0.70-0.80,1.00-1.20,"0.90-1.00",0.75-0.85,
"Tomate",0.40-0.50,0.70-0.80,1.05-1.25,0.80-0.95,0.60-0.65,
"Togo",0.30-0.40,0.70-0.80,1.05-1.20,0.65-0.70,0.20-0.25,
"Vid",0.35-0.55,0.60-0.80,0.70-0.90,0.60-0.80,0.55-0.70,
